,lr,decoding,final_train_loss,train_time_s,bleu,rouge1,rouge2,rougeL
A_lr5e-5_greedy,5e-05,greedy,1.989793300628662,299.95800590515137,27.20577556300271,54.04246963294541,32.24074610408406,50.47173879382279
B_lr1e-5_greedy,1e-05,greedy,1.6502412557601929,304.88335609436035,24.782337080518428,52.80244316416835,30.04955403918008,49.563514872376835
C_lr5e-5_beam,5e-05,beam,1.989793300628662,299.95800590515137,28.91921759381401,55.324399476373486,33.56184375471349,52.24669913053438
